Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-0.499799,-2.33329e-24,0.499799,-0.386209,1,0
0.499606,0.0196294,0,0.499991,0.0198235,-0.499406,2.58047e-24,0.499799,-0.391133,1,21
0.498443,0.0392283,0,0.499984,0.0393831,-0.498237,-1.83503e-24,0.499792,-0.397398,1,42
0.496512,0.0587665,0,0.499978,0.0588817,-0.496305,-3.76927e-24,0.499786,-0.404678,1,63
0.493818,0.0782141,0,0.499973,0.0782896,-0.493611,1.80082e-25,0.499781,-0.412957,1,84
0.490363,0.097541,0,0.49997,0.0975771,-0.49016,-6.6188e-25,0.499778,-0.422292,1,105
0.486153,0.116718,0,0.499967,0.116714,-0.485956,1.49271e-24,0.499775,-0.432728,1,126
0.481194,0.135715,0,0.499966,0.135672,-0.481007,1.28222e-24,0.499774,-0.444305,1,147
0.475495,0.154503,0,0.499967,0.154422,-0.475319,1.18939e-24,0.499774,-0.457061,1,168
0.469064,0.173053,0,0.499968,0.172936,-0.468902,3.03659e-24,0.499776,-0.471029,1,189
0.46191,0.191337,0,0.499971,0.191184,-0.461766,2.9991e-24,0.499779,-0.486244,1,210
0.454046,0.209326,0,0.499975,0.209139,-0.45392,-1.66764e-23,0.499783,-0.502736,1,231
0.445482,0.226993,0,0.49998,0.226773,-0.445378,-1.75127e-23,0.499788,-0.52053,1,252
0.436232,0.244311,0,0.499987,0.244059,-0.436153,4.22899e-24,0.499794,-0.539644,1,273
0.426311,0.261253,0,0.499994,0.260971,-0.426258,7.41044e-24,0.499802,-0.560084,1,294
0.415733,0.277794,0,0.500003,0.277484,-0.415708,3.58151e-23,0.499811,-0.581846,1,315
0.404515,0.293906,0,0.500013,0.293572,-0.404521,3.28366e-23,0.499821,-0.604913,1,336
0.392674,0.309567,0,0.500025,0.309209,-0.392711,-1.85256e-24,0.499832,-0.629263,1,357
0.380228,0.324752,0,0.500037,0.324373,-0.380299,4.64495e-23,0.499845,-0.654878,1,378
0.367197,0.339437,0,0.500051,0.33904,-0.367302,1.34597e-23,0.499859,-0.68156,1,399
0.3536,0.3536,0,0.500066,0.353453,-0.353453,0,0.499858,-0.708471,1,420
0,0.5,0,0.5,0.499799,0,4.67989e-24,0.499799,-1.16916,1,882
0.0196294,0.499606,0,0.499991,0.499406,-0.0198235,-2.33875e-25,0.499799,-1.16624,1,883
0.0392283,0.498443,0,0.499984,0.498237,-0.0393831,1.83503e-24,0.499792,-1.15894,1,884
0.0587665,0.496512,0,0.499978,0.496305,-0.0588817,3.76927e-24,0.499786,-1.14815,1,885
0.0782141,0.493818,0,0.499973,0.493611,-0.0782896,-1.80082e-25,0.499781,-1.13428,1,886
0.097541,0.490363,0,0.49997,0.49016,-0.0975771,6.6188e-25,0.499778,-1.11757,1,887
0.116718,0.486153,0,0.499967,0.485956,-0.116714,-1.49271e-24,0.499775,-1.09827,1,888
0.135715,0.481194,0,0.499966,0.481007,-0.135672,-1.76824e-24,0.499774,-1.07669,1,889
0.154503,0.475495,0,0.499967,0.475319,-0.154422,-1.67542e-24,0.499774,-1.0531,1,890
0.173053,0.469064,0,0.499968,0.468902,-0.172936,-3.03659e-24,0.499776,-1.02779,1,891
0.191337,0.46191,0,0.499971,0.461766,-0.191184,-2.9991e-24,0.499779,-1.00104,1,892
0.209326,0.454046,0,0.499975,0.45392,-0.209139,-6.46022e-24,0.499783,-0.973132,1,893
0.226993,0.445482,0,0.49998,0.445378,-0.226773,-5.6239e-24,0.499788,-0.944317,1,894
0.244311,0.436232,0,0.499987,0.436153,-0.244059,-4.22899e-24,0.499794,-0.914845,1,895
0.261253,0.426311,0,0.499994,0.426258,-0.260971,-7.41044e-24,0.499802,-0.88495,1,896
0.277794,0.415733,0,0.500003,0.415708,-0.277484,-3.58151e-23,0.499811,-0.854849,1,897
0.293906,0.404515,0,0.500013,0.404521,-0.293572,-3.28366e-23,0.499821,-0.824742,1,898
0.309567,0.392674,0,0.500025,0.392711,-0.309209,-5.32994e-23,0.499832,-0.794806,1,899
0.324752,0.380228,0,0.500037,0.380299,-0.324373,-1.01601e-22,0.499845,-0.765187,1,900
0.339437,0.367197,0,0.500051,0.367302,-0.33904,-1.34597e-23,0.499859,-0.736147,1,901
-0.3536,0.3536,0,0.500066,0.353453,0.353453,0,0.499858,-0.370575,1,1722
-0.339437,0.367197,0,0.500051,0.367302,0.33904,-1.34597e-23,0.499859,-0.443154,1,1723
-0.324752,0.380228,0,0.500037,0.380299,0.324373,-1.01601e-22,0.499845,-0.512703,1,1724
-0.309567,0.392674,0,0.500025,0.392711,0.309209,-5.32994e-23,0.499832,-0.580069,1,1725
-0.293906,0.404515,0,0.500013,0.404521,0.293572,-3.28366e-23,0.499821,-0.64514,1,1726
-0.277794,0.415733,0,0.500003,0.415708,0.277484,-3.58151e-23,0.499811,-0.707522,1,1727
-0.261253,0.426311,0,0.499994,0.426258,0.260971,-7.41044e-24,0.499802,-0.766861,1,1728
-0.244311,0.436232,0,0.499987,0.436153,0.244059,-4.22899e-24,0.499794,-0.822851,1,1729
-0.226993,0.445482,0,0.49998,0.445378,0.226773,-5.6239e-24,0.499788,-0.875213,1,1730
-0.209326,0.454046,0,0.499975,0.45392,0.209139,-6.46022e-24,0.499783,-0.923701,1,1731
-0.191337,0.46191,0,0.499971,0.461766,0.191184,-2.9991e-24,0.499779,-0.968104,1,1732
-0.173053,0.469064,0,0.499968,0.468902,0.172936,-3.03659e-24,0.499776,-1.00825,1,1733
-0.154503,0.475495,0,0.499967,0.475319,0.154422,-1.67542e-24,0.499774,-1.044,1,1734
-0.135715,0.481194,0,0.499966,0.481007,0.135672,-1.76824e-24,0.499774,-1.07526,1,1735
-0.116718,0.486153,0,0.499967,0.485956,0.116714,-1.49271e-24,0.499775,-1.10197,1,1736
-0.097541,0.490363,0,0.49997,0.49016,0.0975771,6.6188e-25,0.499778,-1.12413,1,1737
-0.0782141,0.493818,0,0.499973,0.493611,0.0782896,-1.80082e-25,0.499781,-1.14174,1,1738
-0.0587665,0.496512,0,0.499978,0.496305,0.0588817,3.76927e-24,0.499786,-1.15486,1,1739
-0.0392283,0.498443,0,0.499984,0.498237,0.0393831,5.85366e-24,0.499792,-1.16357,1,1740
-0.0196294,0.499606,0,0.499991,0.499406,0.0198235,3.78475e-24,0.499799,-1.16811,1,1741
-0.5,0,0,0.5,0,0.499799,-2.33329e-24,0.499799,0.795321,1,2582
-0.499606,0.0196294,0,0.499991,0.0198235,0.499406,2.33875e-25,0.499799,0.769144,1,2603
-0.498443,0.0392283,0,0.499984,0.0393831,0.498237,-1.83503e-24,0.499792,0.738746,1,2624
-0.496512,0.0587665,0,0.499978,0.0588817,0.496305,-3.76927e-24,0.499786,0.703763,1,2645
-0.493818,0.0782141,0,0.499973,0.0782896,0.493611,1.80082e-25,0.499781,0.664242,1,2666
-0.490363,0.097541,0,0.49997,0.0975771,0.49016,-6.6188e-25,0.499778,0.620368,1,2687
-0.486153,0.116718,0,0.499967,0.116714,0.485956,1.49271e-24,0.499775,0.572339,1,2708
-0.481194,0.135715,0,0.499966,0.135672,0.481007,1.28222e-24,0.499774,0.520377,1,2729
-0.475495,0.154503,0,0.499967,0.154422,0.475319,1.18939e-24,0.499774,0.464728,1,2750
-0.469064,0.173053,0,0.499968,0.172936,0.468902,3.03659e-24,0.499776,0.405667,1,2771
-0.46191,0.191337,0,0.499971,0.191184,0.461766,2.9991e-24,0.499779,0.343493,1,2792
-0.454046,0.209326,0,0.499975,0.209139,0.45392,-1.66764e-23,0.499783,0.278529,1,2813
-0.445482,0.226993,0,0.49998,0.226773,0.445378,-1.75127e-23,0.499788,0.211121,1,2834
-0.436232,0.244311,0,0.499987,0.244059,0.436153,4.22899e-24,0.499794,0.141636,1,2855
-0.426311,0.261253,0,0.499994,0.260971,0.426258,7.41044e-24,0.499802,0.0704548,1,2876
-0.415733,0.277794,0,0.500003,0.277484,0.415708,3.58151e-23,0.499811,-0.00202205,1,2897
-0.404515,0.293906,0,0.500013,0.293572,0.404521,3.28366e-23,0.499821,-0.0753838,1,2918
-0.392674,0.309567,0,0.500025,0.309209,0.392711,-1.85256e-24,0.499832,-0.149201,1,2939
-0.380228,0.324752,0,0.500037,0.324373,0.380299,4.64495e-23,0.499845,-0.22302,1,2960
-0.367197,0.339437,0,0.500051,0.33904,0.367302,1.34597e-23,0.499859,-0.296607,1,2981
-0.3536,-0.3536,0,0.500066,-0.353453,0.353453,0,0.499858,0.450001,1,3422
-0.367197,-0.339437,0,0.500051,-0.33904,0.367302,1.34597e-23,0.499859,0.49295,1,3443
-0.380228,-0.324752,0,0.500037,-0.324373,0.380299,4.64495e-23,0.499845,0.535193,1,3464
-0.392674,-0.309567,0,0.500025,-0.309209,0.392711,-1.85256e-24,0.499832,0.576059,1,3485
-0.404515,-0.293906,0,0.500013,-0.293572,0.404521,3.28366e-23,0.499821,0.615216,1,3506
-0.415733,-0.277794,0,0.500003,-0.277484,0.415708,3.58151e-23,0.499811,0.652385,1,3527
-0.426311,-0.261253,0,0.499994,-0.260971,0.426258,7.41044e-24,0.499802,0.687273,1,3548
-0.436232,-0.244311,0,0.499987,-0.244059,0.436153,4.22899e-24,0.499794,0.71958,1,3569
-0.445482,-0.226993,0,0.49998,-0.226773,0.445378,-1.75127e-23,0.499788,0.749013,1,3590
-0.454046,-0.209326,0,0.499975,-0.209139,0.45392,-1.66764e-23,0.499783,0.775293,1,3611
-0.46191,-0.191337,0,0.499971,-0.191184,0.461766,2.9991e-24,0.499779,0.798151,1,3632
-0.469064,-0.173053,0,0.499968,-0.172936,0.468902,3.03659e-24,0.499776,0.817341,1,3653
-0.475495,-0.154503,0,0.499967,-0.154422,0.475319,1.18939e-24,0.499774,0.832635,1,3674
-0.481194,-0.135715,0,0.499966,-0.135672,0.481007,1.28222e-24,0.499774,0.843829,1,3695
-0.486153,-0.116718,0,0.499967,-0.116714,0.485956,1.49271e-24,0.499775,0.850744,1,3716
-0.490363,-0.097541,0,0.49997,-0.0975771,0.49016,-6.6188e-25,0.499778,0.853225,1,3737
-0.493818,-0.0782141,0,0.499973,-0.0782896,0.493611,1.80082e-25,0.499781,0.851148,1,3758
-0.496512,-0.0587665,0,0.499978,-0.0588817,0.496305,-3.76927e-24,0.499786,0.844424,1,3779
-0.498443,-0.0392283,0,0.499984,-0.0393831,0.498237,-1.83503e-24,0.499792,0.833,1,3800
-0.499606,-0.0196294,0,0.499991,-0.0198235,0.499406,2.58047e-24,0.499799,0.816772,1,3821
-0.339437,-0.367197,0,0.500051,-0.367302,0.33904,-1.34597e-23,0.499859,0.406409,1,4642
-0.324752,-0.380228,0,0.500037,-0.380299,0.324373,-1.01601e-22,0.499845,0.362204,1,4643
-0.309567,-0.392674,0,0.500025,-0.392711,0.309209,-5.32994e-23,0.499832,0.318009,1,4644
-0.293906,-0.404515,0,0.500013,-0.404521,0.293572,-3.28366e-23,0.499821,0.274121,1,4645
-0.277794,-0.415733,0,0.500003,-0.415708,0.277484,-3.58151e-23,0.499811,0.230762,1,4646
-0.261253,-0.426311,0,0.499994,-0.426258,0.260971,-7.41044e-24,0.499802,0.188158,1,4647
-0.244311,-0.436232,0,0.499987,-0.436153,0.244059,-4.22899e-24,0.499794,0.146524,1,4648
-0.226993,-0.445482,0,0.49998,-0.445378,0.226773,-5.6239e-24,0.499788,0.106059,1,4649
-0.209326,-0.454046,0,0.499975,-0.45392,0.209139,-6.46022e-24,0.499783,0.0669395,1,4650
-0.191337,-0.46191,0,0.499971,-0.461766,0.191184,-2.9991e-24,0.499779,0.0293244,1,4651
-0.173053,-0.469064,0,0.499968,-0.468902,0.172936,-3.03659e-24,0.499776,-0.0066533,1,4652
-0.154503,-0.475495,0,0.499967,-0.475319,0.154422,-1.67542e-24,0.499774,-0.0408848,1,4653
-0.135715,-0.481194,0,0.499966,-0.481007,0.135672,-1.76824e-24,0.499774,-0.0732865,1,4654
-0.116718,-0.486153,0,0.499967,-0.485956,0.116714,-1.49271e-24,0.499775,-0.103801,1,4655
-0.097541,-0.490363,0,0.49997,-0.49016,0.0975771,6.6188e-25,0.499778,-0.132395,1,4656
-0.0782141,-0.493818,0,0.499973,-0.493611,0.0782896,-1.80082e-25,0.499781,-0.159065,1,4657
-0.0587665,-0.496512,0,0.499978,-0.496305,0.0588817,3.76927e-24,0.499786,-0.183836,1,4658
-0.0392283,-0.498443,0,0.499984,-0.498237,0.0393831,1.83503e-24,0.499792,-0.206767,1,4659
-0.0196294,-0.499606,0,0.499991,-0.499406,0.0198235,-2.33875e-25,0.499799,-0.227886,1,4660
0,-0.5,0,0.5,-0.499799,0,4.67989e-24,0.499799,-0.24698,1,4661
0.0196294,-0.499606,0,0.499991,-0.499406,-0.0198235,3.78475e-24,0.499799,-0.264345,1,5482
0.0392283,-0.498443,0,0.499984,-0.498237,-0.0393831,5.85366e-24,0.499792,-0.280322,1,5483
0.0587665,-0.496512,0,0.499978,-0.496305,-0.0588817,3.76927e-24,0.499786,-0.294766,1,5484
0.0782141,-0.493818,0,0.499973,-0.493611,-0.0782896,-1.80082e-25,0.499781,-0.307759,1,5485
0.097541,-0.490363,0,0.49997,-0.49016,-0.0975771,6.6188e-25,0.499778,-0.319429,1,5486
0.116718,-0.486153,0,0.499967,-0.485956,-0.116714,-1.49271e-24,0.499775,-0.329892,1,5487
0.135715,-0.481194,0,0.499966,-0.481007,-0.135672,-1.76824e-24,0.499774,-0.339256,1,5488
0.154503,-0.475495,0,0.499967,-0.475319,-0.154422,-1.67542e-24,0.499774,-0.347615,1,5489
0.173053,-0.469064,0,0.499968,-0.468902,-0.172936,-3.03659e-24,0.499776,-0.355056,1,5490
0.191337,-0.46191,0,0.499971,-0.461766,-0.191184,-2.9991e-24,0.499779,-0.361651,1,5491
0.209326,-0.454046,0,0.499975,-0.45392,-0.209139,-6.46022e-24,0.499783,-0.367459,1,5492
0.226993,-0.445482,0,0.49998,-0.445378,-0.226773,-5.6239e-24,0.499788,-0.372527,1,5493
0.244311,-0.436232,0,0.499987,-0.436153,-0.244059,-4.22899e-24,0.499794,-0.376889,1,5494
0.261253,-0.426311,0,0.499994,-0.426258,-0.260971,-7.41044e-24,0.499802,-0.380572,1,5495
0.277794,-0.415733,0,0.500003,-0.415708,-0.277484,-3.58151e-23,0.499811,-0.383597,1,5496
0.293906,-0.404515,0,0.500013,-0.404521,-0.293572,-3.28366e-23,0.499821,-0.385988,1,5497
0.309567,-0.392674,0,0.500025,-0.392711,-0.309209,-5.32994e-23,0.499832,-0.387788,1,5498
0.324752,-0.380228,0,0.500037,-0.380299,-0.324373,-1.01601e-22,0.499845,-0.38907,1,5499
0.339437,-0.367197,0,0.500051,-0.367302,-0.33904,-1.34597e-23,0.499859,-0.389766,1,5500
0.3536,-0.3536,0,0.500066,-0.353453,-0.353453,0,0.499858,-0.389212,1,5501
0.367197,-0.339437,0,0.500051,-0.33904,-0.367302,1.34597e-23,0.499859,-0.388108,1,5922
0.380228,-0.324752,0,0.500037,-0.324373,-0.380299,4.64495e-23,0.499845,-0.387237,1,5943
0.392674,-0.309567,0,0.500025,-0.309209,-0.392711,-1.85256e-24,0.499832,-0.38606,1,5964
0.404515,-0.293906,0,0.500013,-0.293572,-0.404521,3.28366e-23,0.499821,-0.384565,1,5985
0.415733,-0.277794,0,0.500003,-0.277484,-0.415708,3.58151e-23,0.499811,-0.382865,1,6006
0.426311,-0.261253,0,0.499994,-0.260971,-0.426258,7.41044e-24,0.499802,-0.381055,1,6027
0.436232,-0.244311,0,0.499987,-0.244059,-0.436153,4.22899e-24,0.499794,-0.379217,1,6048
0.445482,-0.226993,0,0.49998,-0.226773,-0.445378,-1.75127e-23,0.499788,-0.377429,1,6069
0.454046,-0.209326,0,0.499975,-0.209139,-0.45392,-1.66764e-23,0.499783,-0.375766,1,6090
0.46191,-0.191337,0,0.499971,-0.191184,-0.461766,2.9991e-24,0.499779,-0.374301,1,6111
0.469064,-0.173053,0,0.499968,-0.172936,-0.468902,3.03659e-24,0.499776,-0.373108,1,6132
0.475495,-0.154503,0,0.499967,-0.154422,-0.475319,1.18939e-24,0.499774,-0.372258,1,6153
0.481194,-0.135715,0,0.499966,-0.135672,-0.481007,1.28222e-24,0.499774,-0.371826,1,6174
0.486153,-0.116718,0,0.499967,-0.116714,-0.485956,1.49271e-24,0.499775,-0.371886,1,6195
0.490363,-0.097541,0,0.49997,-0.0975771,-0.49016,-6.6188e-25,0.499778,-0.37251,1,6216
0.493818,-0.0782141,0,0.499973,-0.0782896,-0.493611,1.80082e-25,0.499781,-0.373774,1,6237
0.496512,-0.0587665,0,0.499978,-0.0588817,-0.496305,-3.76927e-24,0.499786,-0.375759,1,6258
0.498443,-0.0392283,0,0.499984,-0.0393831,-0.498237,-1.83503e-24,0.499792,-0.378555,1,6279
0.499606,-0.0196294,0,0.499991,-0.0198235,-0.499406,2.33875e-25,0.499799,-0.38216,1,6300
